Catchment,monitor_name,DAY,Class,Updated_Class,max_depth,min_depth,ave_depth,std_dev_depth,zero_depth,max_velocity,min_velocity,ave_velocity,std_dev_velocity,zero_velocity,m_type
IGOMSC,FM002,02/12/2017,Q,Q,122,47,76.29027778,15.36719461,0,0.51,0,0.191916667,0.099280828,4,FM
IGOMSC,FM002,16/02/2018,Q,Q,94,24,45.15972222,13.1197879,0,0.44,0,0.143833333,0.108127442,66,FM
IGOMSC,FM002,08/01/2018,Q,Q,98,31,50.79027778,12.58712789,0,0.53,0.07,0.259152778,0.073615012,0,FM
IGOMSC,FM002,17/01/2018,Q,Q,118,37,58.36944444,13.47019208,0,0.51,0.01,0.235680556,0.099311024,0,FM
IGOMSC,FM002,20/01/2018,Q,Q,99,33,51.54722222,11.98297323,0,0.46,0,0.1525,0.091925016,9,FM
IGOMSC,FM002,25/12/2017,Q,Q,104,30,48.6125,13.07126543,0,0.55,0,0.211319444,0.095341029,6,FM
IGOMSC,FM002,04/01/2018,Q,Q,123,37,67.11666667,18.12988987,0,0.6,0.04,0.306958333,0.101689748,0,FM
IGOMSC,FM002,19/12/2017,Q,Q,107,42,60.54861111,11.06462862,0,0.45,0,0.149458333,0.088874032,16,FM
IGOMSC,FM002,12/01/2018,Q,Q,94,26,46.05555556,12.54731118,0,0.57,0.09,0.252055556,0.07756336,0,FM
IGOMSC,FM002,06/01/2018,Q,Q,105,39,57.67638889,13.29297547,0,0.54,0,0.236486111,0.095566606,1,FM
IGOMSC,FM002,29/12/2017,W,W,187,42,100.4041667,37.69682491,0,0.66,0,0.284861111,0.191637356,31,FM
IGOMSC,FM002,29/01/2018,Q,Q,120,31,53.2875,16.98839854,0,0.5,0.1,0.268694444,0.07612643,0,FM
IGOMSC,FM002,07/12/2017,Q,Q,129,36,56.84722222,15.01001958,0,0.52,0,0.154972222,0.114831917,68,FM
IGOMSC,FM002,13/02/2018,Q,Q,93,31,48.73194444,11.73284356,0,0.39,0,0.116166667,0.093101557,44,FM
IGOMSC,FM002,15/01/2018,Q,Q,145,31,87.97916667,27.05202034,0,0.63,0.11,0.414625,0.101892378,0,FM
IGOMSC,FM002,01/03/2018,Q,Q,89,27,45.00972222,12.06109459,0,0.46,0,0.187305556,0.095612896,16,FM
IGOMSC,FM002,21/12/2017,Q,Q,97,0,53.85138889,13.41231756,5,0.48,0,0.219361111,0.075845775,5,FM
IGOMSC,FM002,06/02/2018,Q,Q,95,28,45.525,12.40617359,0,0.43,0,0.141833333,0.080893653,13,FM
IGOMSC,FM002,11/02/2018,Q,Q,113,40,67.63472222,15.2618741,0,0.51,0.09,0.286361111,0.075015679,0,FM
IGOMSC,FM002,18/01/2018,Q,Q,135,42,74.8625,20.56961407,0,0.55,0.06,0.331930556,0.094057188,0,FM
IGOMSC,FM002,03/03/2018,Q,Q,90,25,45.19305556,12.7292423,0,0.44,0,0.187152778,0.091794528,30,FM
IGOMSC,FM002,05/12/2017,Q,Q,97,35,52.90972222,11.81187328,0,0.47,0,0.183972222,0.106371691,31,FM
IGOMSC,FM002,04/02/2018,Q,Q,94,29,47.56527778,12.91401606,0,0.41,0,0.1595,0.088396471,9,FM
IGOMSC,FM002,18/12/2017,Q,Q,121,38,62.00833333,12.69356117,0,0.48,0,0.154152778,0.094439885,28,FM
IGOMSC,FM002,07/01/2018,Q,Q,106,34,53.89305556,13.09963771,0,0.56,0.06,0.290583333,0.082816846,0,FM
IGOMSC,FM002,05/02/2018,Q,Q,88,28,47.22638889,12.20342747,0,0.48,0,0.187125,0.078481315,1,FM
IGOMSC,FM002,08/12/2017,Q,Q,95,32,49.28472222,10.92805095,0,0.39,0,0.056361111,0.072896235,201,FM
IGOMSC,FM002,01/12/2017,W,W,183,74,133.6133519,27.06493048,0,0.84,0.16,0.527468707,0.154342856,0,FM
IGOMSC,FM002,22/01/2018,Q,Q,102,40,61.99722222,13.10925495,0,0.48,0.12,0.255958333,0.068333417,0,FM
IGOMSC,FM002,16/12/2017,Q,Q,105,44,69.61111111,11.51144506,0,0.52,0.03,0.218416667,0.082321962,0,FM
IGOMSC,FM002,30/01/2018,Q,Q,86,29,47.85555556,11.57205027,0,0.44,0.11,0.241027778,0.059016504,0,FM
IGOMSC,FM002,04/03/2018,Q,Q,106,33,60.53333333,15.28228587,0,0.53,0.08,0.312986111,0.077239219,0,FM
IGOMSC,FM002,20/02/2018,Q,Q,158,41,65.88472222,18.99057053,0,0.57,0.05,0.309555556,0.099670234,0,FM
IGOMSC,FM002,18/02/2018,Q,Q,101,29,49.0875,13.04808095,0,0.54,0,0.199013889,0.122735396,51,FM
IGOMSC,FM002,12/12/2017,Q,Q,114,37,57.16388889,13.31978884,0,0.48,0,0.137958333,0.093682941,30,FM
IGOMSC,FM002,03/02/2018,Q,Q,95,34,51.99722222,13.16378025,0,0.47,0.08,0.216833333,0.074864551,0,FM
IGOMSC,FM002,24/02/2018,Q,Q,92,31,48.82638889,11.88021453,0,0.43,0,0.159777778,0.091411162,21,FM
IGOMSC,FM002,05/01/2018,Q,Q,128,38,64.03055556,16.79257932,0,0.52,0.04,0.277236111,0.089946668,0,FM
IGOMSC,FM002,01/02/2018,Q,Q,101,0,50.93888889,15.23434517,5,0.47,0,0.245916667,0.072365121,5,FM
IGOMSC,FM005,08/02/2018,Lv,L,58,0,36.17361111,8.136466328,2,0.4,0,0.188305556,0.11844456,78,FM
IGOMSC,FM005,31/12/2017,L,L,76,37,48.58472222,6.68991643,0,0.44,0,0.186277778,0.114723011,30,FM
IGOMSC,FM005,22/02/2018,Lv,L,55,0,29.98194444,8.197218335,2,0.42,0,0.198944444,0.121672385,99,FM
IGOMSC,FM005,25/01/2018,L,L,65,29,39.00972222,7.112344256,0,0.44,0,0.241236111,0.096850256,11,FM
IGOMSC,FM005,28/01/2018,L,L,63,21,33.31666667,8.465244333,0,0.45,0,0.217055556,0.115253592,48,FM
IGOMSC,FM005,03/01/2018,L,L,69,33,44.97361111,6.143678254,0,0.41,0,0.223819444,0.122984426,36,FM
IGOMSC,FM005,28/12/2017,L,L,59,27,38.33888889,6.669769792,0,0.43,0,0.228680556,0.099254849,9,FM
IGOMSC,FM005,31/01/2018,L,L,79,32,43.18611111,7.801167944,0,0.52,0,0.221166667,0.118201756,24,FM
IGOMSC,FM005,09/12/2017,L,L,107,20,38.13888889,17.24938213,0,0.41,0,0.092416667,0.098456764,218,FM
IGOMSC,FM005,11/01/2018,L,L,69,24,34.5375,6.214410493,0,0.41,0,0.139861111,0.124378768,176,FM
